,source,target
882,United States of America,Japan
883,Japan,Thailand
884,United Kingdom,Thailand
885,United Kingdom,Singapore
886,United States of America,Singapore
887,United States of America,Japan
888,Japan,Japan
889,United Kingdom,Japan
890,United Kingdom,Solomon Islands
891,Philippines,Solomon Islands
892,Japan,Philippines
893,Japan,Japan
894,China,Japan
895,China,Japan
896,China,China
897,China,Japan
898,Japan,Japan
899,China,Japan
900,China,Japan
901,Germany,Japan
902,Germany,Japan
903,United States of America,Japan
904,United States of America,Japan
905,Japan,Thailand
906,United Kingdom,Thailand
907,United Kingdom,Singapore
908,United States of America,Singapore
909,United States of America,Japan
910,Japan,Japan
911,United Kingdom,Japan
912,United Kingdom,Solomon Islands
913,Philippines,Solomon Islands
914,Japan,Philippines
915,Japan,Japan
916,China,Japan
917,China,Japan
918,Germany,Japan
919,Germany,Japan
920,United States of America,Japan
921,United States of America,Japan
922,Japan,Thailand
923,United Kingdom,Thailand
924,United Kingdom,Singapore
925,United States of America,Singapore
926,United States of America,Japan
927,Japan,Japan
928,United Kingdom,Japan
929,United Kingdom,Solomon Islands
930,Philippines,Solomon Islands
931,Japan,Philippines
932,Japan,Japan
933,Japan,Solomon Islands
934,Japan,Solomon Islands
935,China,Japan
936,Germany,Japan
937,Germany,Japan
938,United States of America,Japan
939,United States of America,Japan
940,Japan,Thailand
941,United Kingdom,Thailand
942,United Kingdom,Singapore
943,United States of America,Singapore
944,United States of America,Japan
945,Japan,Japan
946,United Kingdom,Japan
947,United Kingdom,Solomon Islands
948,Philippines,Solomon Islands
949,Japan,Philippines
950,Japan,Japan
951,Japan,Solomon Islands
952,Japan,Solomon Islands
953,Japan,Japan
954,Japan,Japan
955,Japan,Thailand
956,United Kingdom,Thailand
957,United Kingdom,Singapore
958,United States of America,Singapore
959,United States of America,Japan
960,Japan,Japan
961,United Kingdom,Japan
962,United Kingdom,Solomon Islands
963,Philippines,Solomon Islands
964,Japan,Philippines
965,Japan,Japan
966,Japan,Solomon Islands
967,Japan,Solomon Islands
968,Japan,Japan
969,Japan,Japan
970,Japan,United States of America
971,Japan,United States of America
972,Japan,Japan
973,India,Japan
974,India,Japan
975,United States of America,Japan
976,United States of America,Japan
977,United States of America,Japan
978,United States of America,Japan
979,United Kingdom,Japan
980,United Kingdom,Solomon Islands
981,Philippines,Solomon Islands
982,Japan,Philippines
983,Japan,Japan
984,Japan,Solomon Islands
985,Japan,Solomon Islands
986,Japan,Japan
987,Japan,Japan
988,Japan,United States of America
989,Japan,United States of America
990,Japan,Japan
991,India,Japan
992,India,Japan
993,United States of America,Japan
994,United States of America,Japan
995,United States of America,Japan
996,United States of America,Japan
997,Japan,Japan
998,Japan,Solomon Islands
999,Japan,Solomon Islands
1000,Japan,Japan
1001,Japan,Japan
1002,Japan,United States of America
1003,Japan,United States of America
1004,Japan,Japan
1005,India,Japan
1006,India,Japan
1007,United States of America,Japan
1008,United States of America,Japan
1009,United States of America,Japan
1010,United States of America,Japan
1011,Japan,Japan
1012,Japan,Japan
1013,United States of America,Japan
1014,United States of America,Japan
1015,Japan,United States of America
1016,Japan,United States of America
1017,Japan,Japan
1018,China,Japan
1019,Japan,Solomon Islands
1020,Japan,Solomon Islands
1021,Japan,Japan
1022,Japan,Japan
1023,Japan,United States of America
1024,Japan,United States of America
1025,Japan,Japan
1026,India,Japan
1027,India,Japan
1028,United States of America,Japan
1029,United States of America,Japan
1030,United States of America,Japan
1031,United States of America,Japan
1032,Japan,Japan
1033,Japan,Japan
1034,United States of America,Japan
1035,United States of America,Japan
1036,Japan,United States of America
1037,Japan,United States of America
1038,Japan,Japan
1039,China,Japan
1040,China,Japan
1041,Japan,United States of America
1042,Japan,United States of America
1043,Japan,Japan
1044,Japan,United States of America
1045,Japan,United States of America
1046,Japan,Japan
1047,India,Japan
1048,India,Japan
1049,United States of America,Japan
1050,United States of America,Japan
1051,United States of America,Japan
1052,United States of America,Japan
1053,Japan,Japan
1054,Japan,Japan
1055,United States of America,Japan
1056,United States of America,Japan
1057,Japan,United States of America
1058,Japan,United States of America
1059,Japan,Japan
1060,China,Japan
1061,China,Japan
1062,Japan,United States of America
1063,Japan,United States of America
